ID_Number	Year of catch	Catch date	Mass
1000586	1944	29.jun.44	22700
1000587	1944	30.jun.44	18100
1000588	1944	02.jul.44	9100
1000589	1944	04.jul.44	13200
1000590	1944	06.jul.44	17200
1000592	1944	10.jul.44	10000
1000591	1944	10.jul.44	12900
1000594	1944	11.jul.44	14100
1000593	1944	11.jul.44	16300
1000597	1944	15.jul.44	6300
1000600	1944	15.jul.44	11800
1000601	1944	15.jul.44	11800
1000598	1944	15.jul.44	12200
1000599	1944	15.jul.44	15900
1000602	1944	16.jul.44	8200
1000603	1944	16.jul.44	8200
1000604	1944	17.jul.44	7200
1000605	1944	18.jul.44	7200
1000606	1944	18.jul.44	15900
1000610	1944	19.jul.44	11800
1000609	1944	19.jul.44	13600
1000608	1944	19.jul.44	18100
1000611	1944	20.jul.44	12700
1000612	1944	21.jul.44	14100
1000614	1944	22.jul.44	7200
1000613	1944	22.jul.44	7700
1000615	1944	22.jul.44	12700
1000619	1944	23.jul.44	7200
1000618	1944	23.jul.44	12700
1000620	1944	24.jul.44	5400
1000622	1944	24.jul.44	16300
1000621	1944	24.jul.44	17500
1000625	1944	25.jul.44	11300
1000624	1944	25.jul.44	12200
1000623	1944	25.jul.44	16300
1000628	1944	26.jul.44	9100
1000626	1944	26.jul.44	10000
1000627	1944	26.jul.44	12700
1000629	1944	29.jul.44	11800
1000630	1944	30.jul.44	15400
1000631	1944	30.jul.44	15400
1000632	1944	31.jul.44	13600
1000633	1944	31.jul.44	14100
1000634	1944	02.aug.44	14100
1000635	1944	04.aug.44	12900
1000636	1944	05.aug.44	9500
1000637	1944	06.aug.44	13600
1000638	1944	07.aug.44	13600
1000639	1944	09.aug.44	11800
1000642	1944	12.aug.44	12200
1000645	1944	16.aug.44	9100
1000649	1944	18.aug.44	17200
1000653	1944	28.aug.44	10900
1000654	1944	28.aug.44	14100
1000655	1944	29.aug.44	12700
1000656	1944	29.aug.44	13200
1000660	1944	30.aug.44	11800
1000661	1944	31.aug.44	10400
1000662	1944	31.aug.44	10900
1000664	1944	01.sep.44	7300
1000665	1944	01.sep.44	8200
1000667	1944	01.sep.44	12700
1000669	1944	02.sep.44	8200
1000670	1944	02.sep.44	12700
1000671	1944	02.sep.44	19100
1000668	1944	02.sep.44	19500
1000677	1945	02.jun.45	11800
1000678	1945	04.jun.45	12700
1000679	1945	04.jun.45	14500
1000680	1945	04.jun.45	20000
1000682	1945	06.jun.45	12700
1000681	1945	06.jun.45	20000
1000683	1945	08.jun.45	15400
1000684	1945	10.jun.45	11800
1000685	1945	10.jun.45	26500
1000687	1945	12.jun.45	12500
1000686	1945	12.jun.45	12900
1000688	1945	12.jun.45	22700
1000689	1945	15.jun.45	8200
1000691	1945	16.jun.45	10400
1000690	1945	16.jun.45	12700
1000692	1945	16.jun.45	13800
1000694	1945	18.jun.45	13600
1000695	1945	18.jun.45	15900
1000693	1945	18.jun.45	20000
1000697	1945	20.jun.45	13200
1000696	1945	20.jun.45	21300
1000699	1945	22.jun.45	11800
1000698	1945	22.jun.45	19100
1000700	1945	23.jun.45	10900
1000704	1945	24.jun.45	9100
1000702	1945	24.jun.45	11800
1000701	1945	24.jun.45	13600
1000703	1945	24.jun.45	13600
1000705	1945	26.jun.45	13600
1000706	1945	27.jun.45	1800
1000708	1945	29.jun.45	15900
1000709	1945	29.jun.45	21100
1000712	1945	30.jun.45	12700
1000710	1945	30.jun.45	16300
1000711	1945	30.jun.45	18100
1000714	1945	03.jul.45	1400
1000715	1945	03.jul.45	7300
1000718	1945	03.jul.45	12700
1000716	1945	03.jul.45	14500
1000713	1945	03.jul.45	15900
1000722	1945	05.jul.45	13600
1000721	1945	05.jul.45	14500
1000719	1945	05.jul.45	19100
1000720	1945	05.jul.45	20900
1000725	1945	06.jul.45	11800
1000723	1945	06.jul.45	15000
1000724	1945	06.jul.45	17200
1000726	1945	07.jul.45	9600
1000727	1945	09.jul.45	17700
1000728	1945	11.jul.45	11800
1000729	1945	12.jul.45	1800
1000732	1945	12.jul.45	13600
1000730	1945	12.jul.45	14100
1000731	1945	12.jul.45	14100
1000733	1945	13.jul.45	13200
1000736	1945	14.jul.45	2700
1000735	1945	14.jul.45	11800
1000734	1945	14.jul.45	18600
1000737	1945	15.jul.45	14100
1000738	1945	16.jul.45	1400
1000739	1945	18.jul.45	900
1000741	1945	18.jul.45	11300
1000740	1945	18.jul.45	20900
1000742	1945	19.jul.45	4500
1000743	1945	21.jul.45	11300
1000744	1945	22.jul.45	700
1000745	1945	23.jul.45	22700
1000746	1945	25.jul.45	16300
1000752	1945	29.jul.45	4500
1000754	1945	19.aug.45	7500
1000756	1946	07.jun.46	12200
1000758	1946	12.jun.46	16300
1000757	1946	12.jun.46	18100
1000759	1946	15.jun.46	15900
1000760	1946	19.jun.46	13600
1000762	1946	20.jun.46	11800
1000761	1946	20.jun.46	16300
1000763	1946	21.jun.46	11300
1000764	1946	23.jun.46	7300
1000767	1946	25.jun.46	9100
1000766	1946	25.jun.46	12200
1000765	1946	25.jun.46	16300
1000768	1946	01.jul.46	7300
1000769	1946	01.jul.46	12700
1000770	1946	02.jul.46	7300
1000771	1946	03.jul.46	10900
1000774	1946	04.jul.46	2300
1000772	1946	04.jul.46	6800
1000773	1946	04.jul.46	11300
1000775	1946	07.jul.46	12200
1000776	1946	09.jul.46	14500
1000787	1946	13.jul.46	2700
1000786	1946	13.jul.46	14100
1000788	1946	16.jul.46	14500
1000791	1946	19.jul.46	1800
1000790	1946	19.jul.46	12700
1000794	1946	20.jul.46	3200
1000796	1946	21.jul.46	16300
1000799	1946	22.jul.46	12200
1000803	1946	23.jul.46	2300
1000802	1946	23.jul.46	8200
1000814	1946	26.jul.46	7700
1000815	1946	27.jul.46	7300
1000816	1946	28.jul.46	2700
1000817	1946	29.jul.46	7300
1000821	1947	11.jun.47	13200
1000822	1947	11.jun.47	16300
1000823	1947	18.jun.47	10900
1000824	1947	18.jun.47	12700
1000827	1947	21.jun.47	18100
1000830	1947	24.jun.47	16300
1000831	1947	26.jun.47	11800
1000832	1947	26.jun.47	11800
1000833	1947	26.jun.47	15000
1000834	1947	29.jun.47	13600
1000835	1947	01.jul.47	15000
1000836	1947	01.jul.47	16300
1000837	1947	02.jul.47	12700
1000839	1947	03.jul.47	9100
1000838	1947	03.jul.47	16300
1000841	1947	04.jul.47	11800
1000840	1947	04.jul.47	16300
1000842	1947	05.jul.47	12200
1000843	1947	06.jul.47	12700
1000844	1947	07.jul.47	12700
1000846	1947	08.jul.47	2700
1000847	1947	08.jul.47	7300
1000845	1947	08.jul.47	13600
1000848	1947	09.jul.47	3900
1000849	1947	09.jul.47	15900
1000853	1947	12.jul.47	6400
1000851	1947	12.jul.47	14100
1000852	1947	12.jul.47	14100
1000850	1947	12.jul.47	15400
1000854	1947	13.jul.47	10400
1000855	1947	13.jul.47	13200
1000857	1947	14.jul.47	11800
1000856	1947	14.jul.47	12200
1000858	1947	15.jul.47	12200
1000861	1947	17.jul.47	10900
1000867	1947	18.jul.47	2000
1000866	1947	18.jul.47	10200
1000871	1947	20.jul.47	2000
1000876	1947	23.jul.47	12200
1000877	1947	24.jul.47	10200
1000878	1947	25.jul.47	6400
1000880	1947	26.jul.47	7000
1000879	1947	26.jul.47	8200
1000881	1947	27.jul.47	12200
1000884	1947	30.jul.47	1100
1000885	1947	31.jul.47	15400
1000887	1947	01.aug.47	2300
1000886	1947	01.aug.47	20400
1000894	1947	06.aug.47	3200
1000896	1947	07.aug.47	10400
1000895	1947	07.aug.47	12700
1000905	1947	13.aug.47	2700
1000906	1947	15.aug.47	2300
1000907	1948	05.jun.48	12200
1000909	1948	07.jun.48	10400
1000908	1948	07.jun.48	12200
1000910	1948	08.jun.48	13200
1000911	1948	12.jun.48	8200
1000912	1948	12.jun.48	10400
1000917	1948	13.jun.48	12700
1000913	1948	13.jun.48	13600
1000916	1948	13.jun.48	13600
1000915	1948	13.jun.48	17700
1000914	1948	13.jun.48	24000
1000918	1948	16.jun.48	14500
1000922	1948	17.jun.48	9600
1000921	1948	17.jun.48	11800
1000925	1948	17.jun.48	11800
1000920	1948	17.jun.48	12700
1000924	1948	17.jun.48	12700
1000919	1948	17.jun.48	14100
1000923	1948	17.jun.48	17200
1000926	1948	19.jun.48	11800
1000927	1948	19.jun.48	18100
1000928	1948	21.jun.48	17700
1000929	1948	23.jun.48	16300
1000930	1948	25.jun.48	11800
1000931	1948	26.jun.48	5400
1000932	1948	27.jun.48	13600
1000933	1948	28.jun.48	1800
1000934	1948	28.jun.48	16300
1000936	1948	29.jun.48	11800
1000935	1948	29.jun.48	21800
1000937	1948	30.jun.48	5400
1000938	1948	01.jul.48	18100
1000939	1948	01.jul.48	22700
1000941	1948	03.jul.48	12200
1000940	1948	03.jul.48	16800
1000942	1948	04.jul.48	18100
1000945	1948	06.jul.48	12700
1000946	1948	07.jul.48	14500
1000947	1948	09.jul.48	11800
1000956	1948	11.jul.48	10400
1000968	1948	13.jul.48	4500
1000964	1948	13.jul.48	8200
1000967	1948	13.jul.48	8200
1000963	1948	13.jul.48	8600
1000962	1948	13.jul.48	10900
1000972	1948	14.jul.48	10900
1000973	1948	14.jul.48	11300
1000974	1948	15.jul.48	9100
1000975	1948	16.jul.48	3200
1000980	1948	16.jul.48	11800
1000990	1948	17.jul.48	11800
1001032	1948	22.jul.48	9100
1001039	1948	23.jul.48	10900
1001052	1948	24.jul.48	11300
1001054	1949	04.jun.49	13600
1001053	1949	04.jun.49	14500
1001055	1949	10.jun.49	15900
1001056	1949	13.jun.49	14100
1001057	1949	15.jun.49	13200
1001059	1949	17.jun.49	13600
1001058	1949	17.jun.49	14100
1001060	1949	17.jun.49	18600
1001061	1949	19.jun.49	13600
1001062	1949	24.jun.49	20000
1001063	1949	25.jun.49	11300
1001065	1949	26.jun.49	12200
1001064	1949	26.jun.49	13600
1001066	1949	27.jun.49	13600
1001068	1949	28.jun.49	12700
1001067	1949	28.jun.49	13600
1001069	1949	29.jun.49	16300
1001070	1949	02.jul.49	7700
1001071	1949	03.jul.49	7700
1001075	1949	06.jul.49	9100
1001076	1949	08.jul.49	13600
1001077	1949	09.jul.49	13600
1001080	1949	11.jul.49	9100
1001082	1949	12.jul.49	2300
1001081	1949	12.jul.49	7300
1001085	1949	12.jul.49	15000
1001086	1949	14.jul.49	13600
1001088	1949	17.jul.49	1800
1001089	1949	17.jul.49	10000
1001087	1949	17.jul.49	11300
1001090	1949	18.jul.49	2300
1001092	1949	18.jul.49	12700
1001091	1949	18.jul.49	15400
1001093	1949	19.jul.49	11800
1001094	1949	20.jul.49	15000
1001096	1949	21.jul.49	2300
1001095	1949	21.jul.49	10900
1001099	1949	22.jul.49	8200
1001100	1949	24.jul.49	6800
1001103	1949	26.jul.49	10900
1001104	1949	27.jul.49	8200
1001109	1949	30.jul.49	3200
1001112	1949	03.aug.49	18100
1001115	1949	05.aug.49	2300
1001118	1949	06.aug.49	17200
1001119	1949	08.aug.49	7700
1001123	1949	09.aug.49	2700
1001130	1949	13.aug.49	12200
1001131	1950	11.jun.50	13200
1001133	1950	13.jun.50	10900
1001134	1950	13.jun.50	11300
1001132	1950	13.jun.50	13600
1001136	1950	14.jun.50	13200
1001135	1950	14.jun.50	16300
1001137	1950	15.jun.50	11300
1001138	1950	15.jun.50	20000
1001139	1950	16.jun.50	19100
1001140	1950	16.jun.50	21800
1001141	1950	23.jun.50	14500
1001142	1950	26.jun.50	2700
1001143	1950	26.jun.50	9600
1001144	1950	26.jun.50	10400
1001145	1950	26.jun.50	14500
1001146	1950	27.jun.50	13200
1001148	1950	28.jun.50	8200
1001147	1950	28.jun.50	21800
1001149	1950	30.jun.50	16800
1001150	1950	01.jul.50	9100
1001151	1950	01.jul.50	10400
1001152	1950	02.jul.50	13200
1001154	1950	02.jul.50	13600
1001153	1950	02.jul.50	14500
1001155	1950	03.jul.50	10400
1001156	1950	03.jul.50	14500
1001158	1950	04.jul.50	10900
1001157	1950	04.jul.50	17200
1001159	1950	05.jul.50	13200
1001160	1950	06.jul.50	2700
1001161	1950	07.jul.50	11300
1001162	1950	09.jul.50	7300
1001163	1950	11.jul.50	12700
1001168	1950	12.jul.50	2700
1001167	1950	12.jul.50	3200
1001166	1950	12.jul.50	8200
1001171	1950	13.jul.50	3200
1001170	1950	13.jul.50	9100
1001169	1950	13.jul.50	10400
1001176	1950	14.jul.50	10000
1001174	1950	14.jul.50	15400
1001177	1950	15.jul.50	8200
1001181	1950	16.jul.50	7700
1001180	1950	16.jul.50	10000
1001179	1950	16.jul.50	13600
1001183	1950	17.jul.50	9100
1001184	1950	18.jul.50	12200
1001185	1950	19.jul.50	3200
1001187	1950	19.jul.50	16800
1001186	1950	19.jul.50	22700
1001188	1950	20.jul.50	9100
1001191	1950	20.jul.50	10400
1001193	1950	22.jul.50	15000
1001194	1950	24.jul.50	7700
1001195	1950	24.jul.50	9600
1001196	1950	25.jul.50	8200
1001197	1950	29.jul.50	6400
1001198	1950	30.jul.50	6800
1001200	1950	31.jul.50	2300
1001199	1950	31.jul.50	2700
1001201	1950	31.jul.50	2700
1001202	1950	02.aug.50	7700
1001203	1950	05.aug.50	6800
1001204	1950	07.aug.50	10900
1001206	1950	09.aug.50	10000
1001207	1950	11.aug.50	11800
1001208	1950	15.aug.50	6800
1001211	1950	18.aug.50	2700
1001212	1950	21.aug.50	6800
1001213	1950	21.aug.50	8200
1001214	1950	22.aug.50	3200
1001215	1950	26.aug.50	9100
1001216	1951	26.jun.51	15400
1001217	1951	26.jun.51	16300
1001218	1951	27.jun.51	13400
1001221	1951	28.jun.51	11800
1001219	1951	28.jun.51	12700
1001220	1951	28.jun.51	15400
1001222	1951	29.jun.51	13200
1001223	1951	30.jun.51	14500
1001224	1951	30.jun.51	15400
1001225	1951	01.jul.51	13200
1001227	1951	02.jul.51	10900
1001230	1951	02.jul.51	13200
1001229	1951	02.jul.51	13400
1001228	1951	02.jul.51	16800
1001226	1951	02.jul.51	24500
1001231	1951	03.jul.51	10900
1001233	1951	05.jul.51	17700
1001235	1951	06.jul.51	11300
1001234	1951	06.jul.51	12700
1001236	1951	06.jul.51	14100
1001237	1951	07.jul.51	14500
1001238	1951	07.jul.51	15400
1001239	1951	08.jul.51	11800
1001240	1951	09.jul.51	10000
1001241	1951	10.jul.51	20000
1001242	1951	11.jul.51	13600
1001243	1952	01.jun.52	24500
1001244	1952	07.jun.52	21300
1001245	1952	11.jun.52	10900
1001246	1952	13.jun.52	18600
1001248	1952	17.jun.52	11800
1001247	1952	17.jun.52	12700
1001250	1952	21.jun.52	12700
1001249	1952	21.jun.52	15400
1001251	1952	21.jun.52	16300
1001252	1952	22.jun.52	12700
1001253	1952	23.jun.52	12900
1001254	1952	26.jun.52	10000
1001255	1952	29.jun.52	10400
1001256	1952	29.jun.52	13400
1001257	1952	30.jun.52	17900
1001258	1952	01.jul.52	12700
1001259	1952	01.jul.52	14300
